ID,e,LATITUDE,LONGITUDE,z,o,w,q,c,f
346926,92065,33.0530056,-116.8506506,ZIP,,,,2889,0.225315863
346927,92070,33.1470897,-116.7174529,ZIP,,,,78,0.006083294
346928,92060,33.3468079,-116.8532154,ZIP,,,,6,0.000467946
346929,92536,33.4923912,-116.8379555,ZIP,,,,243,0.018951802
346931,92086,33.3232209,-116.66593,ZIP,,,,62,0.004835439
346932,92066,33.2193648,-116.5352471,ZIP,,,,13,0.001013882
346933,92539,33.5278668,-116.6476196,ZIP,,,,318,0.024801123
346934,91905,32.6780697,-116.3068506,ZIP,,,,97,0.007565122
346935,91934,32.6489918,-116.1525653,ZIP,,,,45,0.003509593
346936,92259,32.7377054,-115.9322002,ZIP,,,,16,0.001247855
346937,92004,33.1420766,-116.106046,ZIP,,,,216,0.016846046
346938,92274,33.4605115,-116.0845889,ZIP,,,,1828,0.142567462
346941,92254,33.5438351,-115.9939064,ZIP,,,,1290,0.100608329
346942,92273,32.8172247,-115.7000756,ZIP,,,,181,0.014116363
346943,92251,32.881449,-115.6754593,ZIP,,,,1543,0.120340041
346944,92231,32.6875525,-115.5410277,ZIP,,,,3719,0.290048354
346945,92249,32.725583,-115.4726798,ZIP,,,,676,0.052721884
346946,92243,32.7701971,-115.5985905,ZIP,,,,4301,0.335439089
346949,92227,32.990121,-115.3587566,ZIP,,,,2381,0.185696459
346950,92275,33.2920954,-115.8441656,ZIP,,,,107,0.008345032
346951,92281,33.051757,-115.6087518,ZIP,,,,213,0.016612073
346952,92233,33.1728806,-115.5537692,ZIP,,,,412,0.032132273
346954,92250,32.7772409,-115.1276414,ZIP,,,,767,0.059819061
346955,92257,33.2942741,-115.2962266,ZIP,,,,112,0.008734987
346956,92266,33.3450273,-114.9159424,ZIP,,,,13,0.001013882
346957,85336,32.5487572,-114.7887339,ZIP,,,,84,0.00655124
346958,85349,32.508824,-114.743975,ZIP,,,,2965,0.231243176
346959,85350,32.5612177,-114.6935475,ZIP,,,,2020,0.157541725
346960,85364,32.70226,-114.6580126,ZIP,,,,6581,0.513258462
346962,92283,32.8915458,-114.772943,ZIP,,,,242,0.018873811
346964,85367,32.6717154,-114.3955164,ZIP,,,,693,0.05404773
346965,85328,33.2526245,-114.6203536,ZIP,,,,17,0.001325846
346966,85334,33.5165718,-114.5164071,ZIP,,,,138,0.010762752
346968,85356,32.68901,-114.1622139,ZIP,,,,285,0.022227422
346969,85352,32.7193777,-113.8394792,ZIP,,,,38,0.002963656
346970,85347,32.7975097,-113.7896478,ZIP,,,,53,0.004133521
346971,85365,33.0964388,-114.1253395,ZIP,,,,3515,0.2741382
346972,85333,33.0221035,-113.2835388,ZIP,,,,72,0.005615349
346974,85321,32.2377533,-112.6533018,ZIP,,,,241,0.01879582
346976,85354,33.4303391,-113.0460899,ZIP,,,,573,0.044688816
346977,85322,33.1591089,-112.8720336,ZIP,,,,65,0.005069412
346979,85337,32.9640322,-112.7043428,ZIP,,,,250,0.019497738
346980,85343,33.3374979,-112.6857188,ZIP,,,,17,0.001325846
346982,85396,33.5278033,-112.7012685,ZIP,,,,738,0.057557323
346983,85326,33.2937552,-112.5905142,ZIP,,,,3782,0.294961784
346985,85338,33.3729747,-112.4108287,ZIP,,,,3164,0.246763375
346986,85395,33.4786928,-112.3952491,ZIP,,,,1846,0.143971299
346987,85340,33.5158268,-112.4140406,ZIP,,,,2083,0.162455155
346991,85309,33.5354757,-112.3766729,ZIP,,,,258,0.020121666
346992,85323,33.419233,-112.3268664,ZIP,,,,3550,0.276867883
346993,85353,33.4175113,-112.2769735,ZIP,,,,2586,0.201684605
346994,85392,33.47758,-112.3088888,ZIP,,,,2962,0.231009203
346995,85037,33.4867071,-112.2682581,ZIP,,,,4189,0.326704102
346996,85307,33.539828,-112.3144513,ZIP,,,,768,0.059897052
346997,85305,33.5317448,-112.2560928,ZIP,,,,887,0.069177975
346999,85033,33.4929692,-112.2097567,ZIP,,,,5180,0.403993137
347000,85303,33.5326991,-112.2210635,ZIP,,,,2931,0.228591483
347001,85634,32.0344964,-111.9944302,ZIP,,,,629,0.049056309
347003,85601,31.5886754,-111.3147982,ZIP,,,,19,0.001481828
347004,85645,31.6862787,-111.1606312,ZIP,,,,198,0.015442209
347005,85736,31.9098417,-111.3644232,ZIP,,,,335,0.026126969
347006,85735,32.0941094,-111.3492655,ZIP,,,,817,0.063718609
347007,85653,32.3987901,-111.3863327,ZIP,,,,989,0.077133053
347008,85743,32.3022733,-111.1818483,ZIP,,,,1786,0.139291842
347010,85139,32.9799865,-112.1448518,ZIP,,,,1243,0.096942755
347011,85172,32.883352,-111.9534334,ZIP,,,,116,0.009046951
347012,85138,33.0076262,-111.9895319,ZIP,,,,1838,0.143347372
347013,85123,32.7152989,-111.6977136,ZIP,,,,645,0.050304165
347014,85193,32.8028158,-111.818167,ZIP,,,,429,0.033458119
347015,85122,32.9171263,-111.744208,ZIP,,,,3709,0.289268445
347016,85339,33.2376658,-112.1585871,ZIP,,,,2715,0.211745438
347018,85226,33.2522489,-112.0102681,ZIP,,,,2904,0.226485728
347019,85045,33.2988926,-112.1058768,ZIP,,,,549,0.042817033
347020,85041,33.3859301,-112.110307,ZIP,,,,4790,0.373576665
347022,85043,33.4319054,-112.1969982,ZIP,,,,2724,0.212447356
347023,85035,33.4714493,-112.1947323,ZIP,,,,4607,0.359304321
347024,85031,33.493971,-112.1669261,ZIP,,,,3073,0.239666199
347025,85301,33.5350115,-112.1819328,ZIP,,,,5035,0.392684449
347026,85019,33.5088785,-112.1445137,ZIP,,,,2355,0.183668694
347027,85009,33.4430968,-112.1281363,ZIP,,,,5457,0.425596631
347028,85007,33.4476142,-112.0908828,ZIP,,,,935,0.072921541
347029,85003,33.4506619,-112.0783529,ZIP,,,,900,0.070191858
347030,85004,33.4515666,-112.0698864,ZIP,,,,849,0.066214319
347031,85017,33.508782,-112.1230681,ZIP,,,,3547,0.27663391
347033,85015,33.5086645,-112.1020181,ZIP,,,,2651,0.206754017
347035,85013,33.5110869,-112.084749,ZIP,,,,1006,0.078458899
347037,85012,33.5075765,-112.0709811,ZIP,,,,290,0.022617376
347039,85048,33.3125521,-112.0571848,ZIP,,,,3058,0.238496334
347040,85044,33.3529568,-112.0190824,ZIP,,,,2244,0.175011699
347041,85042,33.3691973,-112.0435095,ZIP,,,,3174,0.247543285
347042,85040,33.4064788,-112.0254688,ZIP,,,,2747,0.214241148
347043,85006,33.4652342,-112.0487712,ZIP,,,,2135,0.166510685
347044,85034,33.4295804,-112.0140972,ZIP,,,,410,0.031976291
347045,85014,33.5072229,-112.0576902,ZIP,,,,1225,0.095538917
347047,85016,33.511517,-112.019166,ZIP,,,,1752,0.13664015
347048,85008,33.4629542,-111.985178,ZIP,,,,4513,0.351973171
347049,85018,33.5059563,-111.985386,ZIP,,,,1918,0.149586648
347050,85253,33.5448329,-111.9575634,ZIP,,,,1228,0.09577289
347051,85121,33.1444056,-111.9222071,ZIP,,,,230,0.017937919
347052,85248,33.2149546,-111.8699729,ZIP,,,,1133,0.08836375
347054,85286,33.271981,-111.8317741,ZIP,,,,2535,0.197707066
347055,85147,33.1290871,-111.7334708,ZIP,,,,468,0.036499766
347056,85249,33.2249555,-111.7957165,ZIP,,,,2470,0.192637654
347058,85298,33.2411862,-111.7267269,ZIP,,,,1249,0.0974107
347059,85297,33.277771,-111.7314544,ZIP,,,,1882,0.146778974
347060,85284,33.338295,-111.9346442,ZIP,,,,1352,0.105443769
347062,85224,33.3236717,-111.8784611,ZIP,,,,2870,0.223834035
347063,85283,33.3646382,-111.9316044,ZIP,,,,2938,0.22913742
347064,85282,33.3939839,-111.9329063,ZIP,,,,3003,0.234206832
347067,85202,33.3797573,-111.8750177,ZIP,,,,2459,0.191779754
347070,85225,33.317448,-111.830487,ZIP,,,,5213,0.406566838
347071,85233,33.353505,-111.811432,ZIP,,,,2875,0.22422399
347072,85210,33.3897328,-111.8435049,ZIP,,,,2895,0.225783809
347073,85281,33.4274398,-111.9340045,ZIP,,,,9654,0.752924661
347074,85257,33.4619603,-111.9163918,ZIP,,,,1442,0.112462954
347075,85251,33.4935134,-111.9192394,ZIP,,,,1537,0.119872095
347076,85250,33.5344512,-111.8873536,ZIP,,,,732,0.057089378
347077,85201,33.4335449,-111.8503995,ZIP,,,,3221,0.25120886
347078,85256,33.5005837,-111.8437281,ZIP,,,,482,0.037591639
347079,85295,33.3032407,-111.7418069,ZIP,,,,2472,0.192793636
347080,85296,33.3323279,-111.7498024,ZIP,,,,3019,0.235454687
347081,85204,33.3957198,-111.7866076,ZIP,,,,4687,0.365543597
347082,85234,33.361667,-111.7410025,ZIP,,,,4521,0.352597099
347084,85206,33.3962955,-111.7170192,ZIP,,,,1652,0.128841054
347085,85203,33.4503587,-111.8028936,ZIP,,,,2745,0.214085166
347087,85213,33.4487329,-111.7690146,ZIP,,,,2566,0.200124786
347088,85205,33.4324202,-111.7185116,ZIP,,,,2497,0.19474341
347089,85131,32.6725108,-111.5472781,ZIP,,,,1051,0.081968492
347090,85141,32.6430009,-111.4370935,ZIP,,,,38,0.002963656
347091,85194,32.9011078,-111.628056,ZIP,,,,332,0.025892996
347092,85128,32.9899342,-111.5379567,ZIP,,,,1227,0.095694899
347093,85145,32.5459981,-111.3475852,ZIP,,,,91,0.007097177
347094,85132,32.9267824,-111.2150974,ZIP,,,,1525,0.118936203
347095,85142,33.1999903,-111.6362938,ZIP,,,,3535,0.275698019
347096,85140,33.2445313,-111.5438122,ZIP,,,,2330,0.181718921
347097,85143,33.1586612,-111.5190497,ZIP,,,,2266,0.1767275
347098,85212,33.3223239,-111.6353419,ZIP,,,,2113,0.164794884
347100,85209,33.3754499,-111.6386696,ZIP,,,,2251,0.175557635
347101,85208,33.4033068,-111.6280633,ZIP,,,,2040,0.159101544
347102,85120,33.4023861,-111.5678778,ZIP,,,,1406,0.10965528
347104,85207,33.4545859,-111.6379719,ZIP,,,,3053,0.23810638
347105,85215,33.5118956,-111.5793965,ZIP,,,,897,0.069957885
347106,85119,33.4096855,-111.50196,ZIP,,,,1088,0.084854157
347107,85118,33.4017827,-111.3517767,ZIP,,,,362,0.028232725
347112,85621,31.3879784,-110.9120012,ZIP,,,,2125,0.165730775
347113,85615,31.402633,-110.2117243,ZIP,,,,571,0.044532834
347114,85620,31.3372825,-109.9413252,ZIP,,,,89,0.006941195
347116,85603,31.4326689,-109.9190564,ZIP,,,,407,0.031742318
347117,85608,31.4569114,-109.5809357,ZIP,,,,51,0.003977539
347118,85626,31.3578103,-109.5666789,ZIP,,,,111,0.008656996
347121,85648,31.4904412,-111.0380959,ZIP,,,,1808,0.141007643
347122,85640,31.5572311,-111.0477044,ZIP,,,,21,0.00163781
347123,85646,31.6473182,-110.9406893,ZIP,,,,29,0.002261738
347124,85622,31.8268505,-111.0755107,ZIP,,,,30,0.002339729
347125,85629,31.917849,-111.0190488,ZIP,,,,1457,0.113632819
347126,85614,31.8143006,-110.9194,ZIP,,,,316,0.024645141
347128,85624,31.5049712,-110.6929992,ZIP,,,,57,0.004445484
347129,85637,31.7194658,-110.6908509,ZIP,,,,57,0.004445484
347130,85746,32.0916103,-111.0442938,ZIP,,,,3680,0.287006707
347131,85757,32.1285169,-111.1220583,ZIP,,,,1404,0.109499298
347132,85756,32.0792592,-110.8989212,ZIP,,,,2563,0.199890813
347133,85713,32.1945703,-111.014995,ZIP,,,,3983,0.310637966
347135,85701,32.216958,-110.9709988,ZIP,,,,218,0.017002028
347137,85714,32.1673952,-110.9508636,ZIP,,,,1302,0.101544221
347138,85706,32.1476191,-110.933338,ZIP,,,,5189,0.404695055
347140,85716,32.2415401,-110.9232009,ZIP,,,,1821,0.142021526
347141,85745,32.2539077,-111.0801403,ZIP,,,,2800,0.218374669
347142,85741,32.3352906,-111.0417587,ZIP,,,,2389,0.186320387
347143,85742,32.3937207,-111.0653968,ZIP,,,,1977,0.154188114
347144,85705,32.271329,-110.9937116,ZIP,,,,4241,0.330759632
347147,85704,32.33942,-110.9849966,ZIP,,,,1625,0.126735299
347148,85719,32.2467191,-110.9486573,ZIP,,,,7756,0.604897832
347150,85718,32.3333044,-110.9166066,ZIP,,,,1478,0.115270629
347151,85755,32.4682513,-110.9814384,ZIP,,,,795,0.062002808
347152,85737,32.4146149,-110.9465615,ZIP,,,,1493,0.116440493
347153,85747,32.0949667,-110.7654384,ZIP,,,,1675,0.130634846
347154,85707,32.1792037,-110.886913,ZIP,,,,144,0.011230697
347155,85708,32.1819235,-110.8664072,ZIP,,,,122,0.009514896
347156,85711,32.2152345,-110.8833944,ZIP,,,,2844,0.22180627
347157,85710,32.2141354,-110.8237253,ZIP,,,,3549,0.276789892
347160,85730,32.1815443,-110.7465516,ZIP,,,,2748,0.214319139
347161,85748,32.2189282,-110.7521102,ZIP,,,,1126,0.087817813
347162,85712,32.2528858,-110.886567,ZIP,,,,1474,0.114958665
347163,85715,32.2467215,-110.8361784,ZIP,,,,1058,0.082514428
347164,85750,32.3001292,-110.8359956,ZIP,,,,1341,0.104585868
347165,85749,32.2895843,-110.7335284,ZIP,,,,1362,0.106223678
347166,85611,31.6651675,-110.5102856,ZIP,,,,58,0.004523475
347167,85613,31.5678727,-110.3768435,ZIP,,,,878,0.068476057
347169,85616,31.7019938,-110.3226536,ZIP,,,,329,0.025659024
347170,85650,31.5007073,-110.2018353,ZIP,,,,983,0.076665107
347171,85635,31.5710113,-110.1702349,ZIP,,,,2134,0.166432694
347173,85630,31.8865722,-110.1810465,ZIP,,,,171,0.013336453
347174,85641,32.0490476,-110.6228499,ZIP,,,,1614,0.125877398
347175,85602,32.1674953,-110.4118746,ZIP,,,,515,0.040165341
347176,85627,32.0077865,-110.2355411,ZIP,,,,74,0.005771331
347177,85658,32.5510518,-111.1434464,ZIP,,,,273,0.02129153
347178,85739,32.6210724,-110.9896669,ZIP,,,,671,0.052331929
347179,85623,32.7062458,-110.8052106,ZIP,,,,250,0.019497738
347180,85135,33.0037715,-110.7855066,ZIP,,,,66,0.005147403
347181,85192,32.9629423,-110.6785309,ZIP,,,,153,0.011932616
347182,85137,33.1363767,-111.0225696,ZIP,,,,164,0.012790516
347183,85173,33.2701631,-111.123285,ZIP,,,,182,0.014194353
347185,85539,33.340635,-110.8972236,ZIP,,,,269,0.020979566
347188,85631,32.5909111,-110.5512689,ZIP,,,,281,0.021915458
347189,85618,32.7197077,-110.5380942,ZIP,,,,125,0.009748869
347192,85530,33.0651741,-110.1996483,ZIP,,,,241,0.01879582
347193,85542,33.3246772,-110.3108464,ZIP,,,,354,0.027608797
347194,85638,31.7161717,-110.0516039,ZIP,,,,111,0.008656996
347195,85617,31.5196241,-109.7085926,ZIP,,,,83,0.006473249
347196,85610,31.7278234,-109.7335226,ZIP,,,,101,0.007877086
347197,85625,31.8870696,-109.614806,ZIP,,,,77,0.006005303
347198,85609,32.0692971,-110.0969069,ZIP,,,,12,0.000935891
347199,85606,32.0425543,-109.8989826,ZIP,,,,60,0.004679457
347200,85643,32.4072454,-109.96549,ZIP,,,,669,0.052175948
347201,85607,31.5207788,-109.3792198,ZIP,,,,1841,0.143581345
347203,85605,32.3028124,-109.4815229,ZIP,,,,29,0.002261738
347204,85632,32.0935868,-109.1332319,ZIP,,,,39,0.003041647
347205,85543,32.9785732,-109.9893945,ZIP,,,,290,0.022617376
347206,85551,32.7243288,-109.588476,ZIP,,,,30,0.002339729
347207,85531,32.8841086,-109.790074,ZIP,,,,56,0.004367493
347208,85552,32.8199507,-109.7708304,ZIP,,,,809,0.063094681
347210,85536,33.1206511,-110.0159393,ZIP,,,,16,0.001247855
347211,85546,32.8137517,-109.3552302,ZIP,,,,1369,0.106769615
347212,85540,33.0028905,-109.3815478,ZIP,,,,251,0.019575729
347213,85534,32.7537823,-109.1416554,ZIP,,,,194,0.015130245
347214,85533,33.3539435,-109.4057828,ZIP,,,,193,0.015052254
347216,88056,31.8442057,-108.9825237,ZIP,,,,8,0.000623928
347217,88020,31.7724101,-108.8394234,ZIP,,,,79,0.006161285
347219,88045,32.3850889,-108.7560934,ZIP,,,,297,0.023163313
347220,88040,31.5972313,-108.3549772,ZIP,,,,5,0.000389955
347221,88028,32.9328197,-108.635947,ZIP,,,,21,0.00163781
347222,88039,33.2983496,-108.8032829,ZIP,,,,15,0.001169864
347223,88025,33.0468063,-108.7434483,ZIP,,,,14,0.001091873
347224,88061,32.6541965,-108.333572,ZIP,,,,1213,0.094603026
347225,88065,32.6774758,-108.3288768,ZIP,,,,34,0.002651692
347227,88023,32.7297332,-108.1445781,ZIP,,,,168,0.01310248
347228,88026,32.751993,-108.162999,ZIP,,,,107,0.008345032
347229,88043,32.610316,-108.1000958,ZIP,,,,108,0.008423023
347230,88022,32.8080018,-108.1764684,ZIP,,,,86,0.006707222
347231,88053,32.9025017,-108.2059251,ZIP,,,,2,0.000155982
347232,88038,33.1219696,-108.3830365,ZIP,,,,25,0.001949774
347233,88029,31.8448787,-107.6947225,ZIP,,,,172,0.013414444
347235,88030,32.1734564,-107.7274189,ZIP,,,,1765,0.137654032
347236,88021,31.9518869,-107.0162715,ZIP,,,,1853,0.144517236
347237,88004,32.2230961,-106.9874309,ZIP,,,,3,0.000233973
347238,88041,32.7899208,-107.9121823,ZIP,,,,51,0.003977539
347239,88042,32.8124784,-107.5783829,ZIP,,,,5,0.000389955
347240,88049,33.0309051,-107.9247337,ZIP,,,,18,0.001403837
347241,87943,33.369427,-107.7813851,ZIP,,,,13,0.001013882
347242,87939,33.4126774,-107.4885673,ZIP,,,,6,0.000467946
347243,87936,32.7528274,-107.2636137,ZIP,,,,26,0.002027765
347244,87941,32.7206909,-107.2196117,ZIP,,,,143,0.011152706
347245,87930,32.850682,-107.4435725,ZIP,,,,78,0.006083294
347246,87931,32.9534685,-107.4268402,ZIP,,,,30,0.002339729
347247,87933,32.7901821,-107.2779374,ZIP,,,,11,0.0008579
347248,87937,32.5912713,-107.1952182,ZIP,,,,327,0.025503042
347250,87940,32.6215161,-107.0065409,ZIP,,,,59,0.004601466
347251,87942,33.0609878,-107.3489203,ZIP,,,,49,0.003821557
347253,87935,33.2548025,-107.2292737,ZIP,,,,33,0.002573701
347254,87901,33.2159639,-107.0954357,ZIP,,,,316,0.024645141
347255,79853,31.4340582,-106.0632383,ZIP,,,,436,0.034004056
347256,79839,31.3331772,-105.9025458,ZIP,,,,222,0.017313992
347258,79851,31.2782791,-105.3116595,ZIP,,,,48,0.003743566
347259,88008,31.8393757,-106.6818026,ZIP,,,,483,0.03766963
347261,88063,31.8179878,-106.599103,ZIP,,,,1353,0.105521759
347262,79932,31.8749642,-106.6079881,ZIP,,,,2030,0.158321635
347264,79821,31.9800534,-106.5987773,ZIP,,,,532,0.041491187
347265,79835,31.9364057,-106.5897253,ZIP,,,,1295,0.100998284
347267,79902,31.783715,-106.4985444,ZIP,,,,1632,0.127281235
347268,79922,31.814165,-106.5612982,ZIP,,,,718,0.055997504
347270,79912,31.8485833,-106.5343159,ZIP,,,,5999,0.467867727
347273,79901,31.7606182,-106.4785782,ZIP,,,,915,0.071361722
347274,79930,31.8293039,-106.483334,ZIP,,,,2081,0.162299173
347276,79903,31.7861822,-106.4419366,ZIP,,,,1334,0.104039931
347278,79920,31.8247251,-106.4517273,ZIP,,,,14,0.001091873
347279,79911,31.8924665,-106.5425963,ZIP,,,,72,0.005615349
347280,79904,31.8527642,-106.4476358,ZIP,,,,2777,0.216580877
347282,79934,31.9506695,-106.4335178,ZIP,,,,1511,0.11784433
347283,88027,32.0441277,-106.7895818,ZIP,,,,41,0.003197629
347284,88044,32.1479778,-106.8058499,ZIP,,,,290,0.022617376
347285,88047,32.2100437,-106.7146906,ZIP,,,,189,0.01474029
347286,88007,32.4411094,-106.921281,ZIP,,,,1889,0.14732491
347287,88005,32.2583484,-106.8231261,ZIP,,,,1924,0.150054594
347288,88046,32.2500227,-106.8022644,ZIP,,,,42,0.00327562
347291,88001,32.2900508,-106.7538903,ZIP,,,,3864,0.301357043
